Waterbeheerder.omschrijving;Meetobject.namespace;Meetobject.code;Meetobject.lokaalID;Namespace;Monster.Identificatie;Monster.lokaalID;MonsterCompartiment.code;MonsterCompartiment.omschrijving;Orgaan.code;Orgaan.omschrijving;Organisme.naam;Bemonsteringsapparaat.code;Bemonsteringsapparaat.omschrijving;Monsterophaaldatum;Monsterophaaltijd;GeometriePunt.X;GeometriePunt.Y;Meetwaarde.lokaalID;Resultaatdatum;Begindatum;Begintijd;Einddatum;Eindtijd;Typering.code;Typering.omschrijving;Grootheid.code;Grootheid.omschrijving;Parameter.groep;Parameter.code;Parameter.omschrijving;Parameter.CASnummer;Biotaxon.naam;Eenheid.code;Eenheid.omschrijving;Hoedanigheid.code;Hoedanigheid.omschrijving;Levensstadium.code;Levensstadium.omschrijving;Lengteklasse.code;Lengteklasse.omschrijving;Geslacht.code;Geslacht.omschrijving;Verschijningsvorm.code;Verschijningsvorm.omschrijving;Levensvorm.code;Levensvorm.omschrijving;Gedrag.code;Gedrag.omschrijving;AnalyseCompartiment.code;AnalyseCompartiment.omschrijving;Compartiment.code;Compartiment.omschrijving;Waardebewerkingsmethode.code;Waardebewerkingsmethode.omschrijving;Limietsymbool;Numeriekewaarde;Alfanumeriekewaarde;Kwaliteitsoordeel.code;Kwaliteitsoordeel.omschrijving;Rapportagejaar;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507324;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;NO3;nitraat;14797-55-8;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;0;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507325;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Ptot;fosfor totaal;NVT;;mg/l;milligram per liter;P;uitgedrukt in Fosfor;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;0;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507326;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;PO4;fosfaat;14265-44-2;;mg/l;milligram per liter;P;uitgedrukt in Fosfor;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;0;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507327;18-4-2019;18-4-2019;11:37:00;;;;;pH;Zuurgraad;Grootheid;;;;;DIMSLS;dimensieloos;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;7;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507328;18-4-2019;18-4-2019;11:37:00;;;;;T;Temperatuur;Grootheid;;;;;oC;graad Celsius;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;12;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507329;18-4-2019;18-4-2019;11:37:00;;;;;VERZDGGD;Verzadigingsgraad;ChemischeStof;O2;zuurstof;7782-44-7;;%;procent;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;78;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507330;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;O2;zuurstof;7782-44-7;;mg/l;milligram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;8;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507331;18-4-2019;18-4-2019;11:37:00;;;;;ZICHT;Doorzicht;Grootheid;;;;;cm;centimeter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;45;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507332;18-4-2019;18-4-2019;11:37:00;;;;;HH;Hardheid;Grootheid;;;;;mg/l;milligram per liter;CaCO3;uitgedrukt in Calciumcarbonaat;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;475;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507333;18-4-2019;18-4-2019;11:37:00;;;;;GELDHD;Geleidendheid;Grootheid;;;;;mS/m;millisiemens per meter;25oC;t;;;;;;;;;;;;;;;;;;;;;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507334;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Ca;calcium;7440-70-2;;mg/l;milligram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;130;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507335;22-5-2019;22-5-2019;08:02:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;SO4;sulfaat;14808-79-8;;mg/l;milligram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;130;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507336;22-5-2019;22-5-2019;08:02:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Cl;chloride;16887-00-6;;mg/l;milligram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;610;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507337;22-5-2019;22-5-2019;08:02:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Ntot;stikstof totaal;NVT;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;1;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507338;22-5-2019;22-5-2019;08:02:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;NH4;ammonium;14798-03-9;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;0;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507339;22-5-2019;22-5-2019;08:02:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;NO2;nitriet;14797-65-0;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;<;0;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507340;22-5-2019;22-5-2019;08:02:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;NO3;nitraat;14797-55-8;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;<;0;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507341;22-5-2019;22-5-2019;08:02:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Ptot;fosfor totaal;NVT;;mg/l;milligram per liter;P;uitgedrukt in Fosfor;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;0;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507342;22-5-2019;22-5-2019;08:02:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;PO4;fosfaat;14265-44-2;;mg/l;milligram per liter;P;uitgedrukt in Fosfor;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;0;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507343;22-5-2019;22-5-2019;08:02:00;;;;;pH;Zuurgraad;Grootheid;;;;;DIMSLS;dimensieloos;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;7;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507344;22-5-2019;22-5-2019;08:02:00;;;;;T;Temperatuur;Grootheid;;;;;oC;graad Celsius;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;14;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507345;22-5-2019;22-5-2019;08:02:00;;;;;VERZDGGD;Verzadigingsgraad;ChemischeStof;O2;zuurstof;7782-44-7;;%;procent;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;66;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507346;22-5-2019;22-5-2019;08:02:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;O2;zuurstof;7782-44-7;;mg/l;milligram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;6;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507347;22-5-2019;22-5-2019;08:02:00;;;;;ZICHT;Doorzicht;Grootheid;;;;;cm;centimeter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;35;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1907630;"""0002""";OW;Oppervlaktewater;;;;;;22-5-2019;08:02:00;198093;599678;AK_DB_673507348;22-5-2019;22-5-2019;08:02:00;;;;;GELDHD;Geleidendheid;Grootheid;;;;;mS/m;millisiemens per meter;25oC;t;;;;;;;;;;;;;;;;;;;;;;;;;;
Wetterskip Fryslan;NL02;NL02_0003;"""0003""";NL02;NL02_1905701;"""0003""";OW;Oppervlaktewater;;;;;;9-4-2019;11:46:00;203486;596871;AK_DB_630261032;9-4-2019;9-4-2019;11:46:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;CHLFa;chlorofyl-a;479-61-8;;ug/l;microgram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;97;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0003;"""0003""";NL02;NL02_1905701;"""0003""";OW;Oppervlaktewater;;;;;;9-4-2019;11:46:00;203486;596871;AK_DB_630261033;9-4-2019;9-4-2019;11:46:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Cl;chloride;16887-00-6;;mg/l;milligram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;390;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0003;"""0003""";NL02;NL02_1905701;"""0003""";OW;Oppervlaktewater;;;;;;9-4-2019;11:46:00;203486;596871;AK_DB_630261034;9-4-2019;9-4-2019;11:46:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Ntot;stikstof totaal;NVT;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;1;;;;;;
Wetterskip Fryslan;NL02;NL02_0003;"""0003""";NL02;NL02_1905701;"""0003""";OW;Oppervlaktewater;;;;;;9-4-2019;11:46:00;203486;596871;AK_DB_630261035;9-4-2019;9-4-2019;11:46:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;NH4;ammonium;14798-03-9;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;0;;;;;;
Wetterskip Fryslan;NL02;NL02_0003;"""0003""";NL02;NL02_1905701;"""0003""";OW;Oppervlaktewater;;;;;;9-4-2019;11:46:00;203486;596871;AK_DB_630261036;9-4-2019;9-4-2019;11:46:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;NO2;nitriet;14797-65-0;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;0;;;;;;
Wetterskip Fryslan;NL02;NL02_0003;"""0003""";NL02;NL02_1905701;"""0003""";OW;Oppervlaktewater;;;;;;9-4-2019;11:46:00;203486;596871;AK_DB_630261037;9-4-2019;9-4-2019;11:46:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;NO3;nitraat;14797-55-8;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;0;;;;;;
